,county,population,median_home_value,median_gross_rent,median_age,household_income,per_capita_income,caucasian,african_american,native_american,asian,hispanic,state,county_fips_x,pop_density,state_num,percent_african_american,percent_caucasian,percent_asian,percent_native_american,percent_hispanic,republican
40,Hancock,46653.0,144400.0,807.0,44.0,47543.0,26659.0,40709.0,3776.0,272.0,332.0,1792.0,Mississippi,45,100.49706734000000,28,0.08093798898248773,0.8725912588686687,0.007116369794011103,0.005830278867382591,0.038411249008638244,0.7830696830526733
41,Lafayette,53459.0,188600.0,914.0,29.9,47132.0,26154.0,38345.0,12726.0,82.0,1117.0,1411.0,Mississippi,71,85.51446956800000,28,0.23805159093885034,0.7172786621523036,0.02089451729362689,0.0015338857816270413,0.02639405899848482,0.5534796110573741
42,Issaquena,1328.0,57500.0,406.0,40.1,25776.0,18942.0,521.0,799.0,0.0,0.0,16.0,Mississippi,55,3.21272114510000,28,0.6016566265060241,0.39231927710843373,0.0,0.0,0.012048192771084338,0.4263233190271817
43,Lowndes,59437.0,131800.0,770.0,37.1,45355.0,24499.0,31869.0,25961.0,113.0,539.0,1212.0,Mississippi,87,115.92790000000000,28,0.43678180258088395,0.536181166613389,0.009068425391591096,0.001901172670222252,0.0203913387284015,0.5189051808406647
44,Leflore,29804.0,79700.0,546.0,33.8,26052.0,16861.0,7209.0,21859.0,0.0,183.0,786.0,Mississippi,83,47.44018190700000,28,0.7334250436183063,0.24188028452556704,0.006140115420748893,0.0,0.026372299020265735,0.2883303411131059
45,Wilkinson,8990.0,70000.0,561.0,37.5,26599.0,13231.0,2517.0,6402.0,0.0,7.0,37.0,Mississippi,157,12.72661861300000,28,0.7121245828698554,0.2799777530589544,0.000778642936596218,0.0,0.004115684093437153,0.31247036510194404
46,Harrison,202626.0,144500.0,875.0,36.0,45566.0,24445.0,138089.0,49879.0,1122.0,5721.0,11032.0,Mississippi,47,362.73502365000000,28,0.24616288136764286,0.6814969451106966,0.028234283853009978,0.005537295312546268,0.05444513537255831,0.6373730513480643
47,Jefferson Davis,11495.0,84200.0,576.0,44.3,30083.0,19233.0,4360.0,7036.0,0.0,20.0,34.0,Mississippi,65,27.24469990800000,28,0.6120922140060896,0.37929534580252283,0.0017398869073510222,0.0,0.0029578077424967375,0.3953823953823954
48,Lincoln,34432.0,99600.0,670.0,38.6,40355.0,21892.0,23505.0,10700.0,4.0,160.0,375.0,Mississippi,85,58.26096268500000,28,0.3107574349442379,0.6826498605947955,0.004646840148698885,0.00011617100371747211,0.01089103159851301,0.6943987362601198
49,Scott,28415.0,68700.0,699.0,36.5,33735.0,21640.0,16565.0,10889.0,136.0,84.0,3148.0,Mississippi,123,46.16308176900000,28,0.3832130916769312,0.5829667429174732,0.002956185113496393,0.00478620446947035,0.11078655639626958,0.5818285497053792
50,Winston,18358.0,84100.0,685.0,41.6,36214.0,24538.0,9241.0,8769.0,112.0,6.0,225.0,Mississippi,159,29.56766739500000,28,0.47766641246323127,0.5033772742128773,0.00032683298834295673,0.006100882449068526,0.012256237062860878,0.552865668280599
51,Yazoo,27974.0,81400.0,628.0,35.7,31402.0,18866.0,10583.0,15929.0,143.0,120.0,1805.0,Mississippi,163,32.18989242400000,28,0.5694216057767927,0.378315578751698,0.00428969757632087,0.005111889611782369,0.0645242010438264,0.4566037735849057
52,Benton,8253.0,68800.0,509.0,40.4,35974.0,20363.0,5058.0,2956.0,0.0,0.0,213.0,Mississippi,9,20.31153041800000,28,0.3581727856537017,0.6128680479825518,0.0,0.0,0.025808796801163214,0.5609269872913033
53,Franklin,7757.0,76500.0,636.0,42.1,40810.0,22769.0,4926.0,2793.0,0.0,3.0,51.0,Mississippi,37,13.67641620100000,28,0.36006187959262603,0.6350393193244811,0.00038674745391259507,0.0,0.006574706716514116,0.6342657342657343
54,Jasper,16529.0,73400.0,620.0,40.6,35931.0,21929.0,7408.0,8997.0,1.0,0.0,64.0,Mississippi,61,24.22659033800000,28,0.5443160505777724,0.44818198318107566,0.0,6.049972775122512e-05,0.0038719825760784076,0.4764601769911505
55,Jones,68454.0,92100.0,673.0,37.2,41263.0,22836.0,47003.0,19989.0,159.0,231.0,2993.0,Mississippi,67,98.00928483900000,28,0.2920063108072574,0.6866362812983902,0.003374528880708213,0.002322727671136822,0.043722791947877405,0.7101086343115124
56,Monroe,35840.0,88200.0,611.0,41.2,40940.0,23158.0,24396.0,11070.0,9.0,30.0,438.0,Mississippi,95,46.07571137700000,28,0.30887276785714285,0.6806919642857143,0.0008370535714285714,0.0002511160714285714,0.012220982142857143,0.6400780659783429
57,Sunflower,26532.0,73900.0,638.0,35.3,30029.0,15464.0,6638.0,19623.0,113.0,21.0,457.0,Mississippi,133,35.98664572100000,28,0.7395974672094076,0.250188451680989,0.0007914970601537765,0.004259007990351274,0.01722448364239409,0.2911023129818712
58,Webster,9828.0,83100.0,580.0,39.8,40683.0,21109.0,7805.0,1895.0,9.0,14.0,144.0,Mississippi,155,23.00633415100000,28,0.1928164428164428,0.7941595441595442,0.0014245014245014246,0.0009157509157509158,0.014652014652014652,0.7843756164924048
59,Adams,31547.0,92800.0,603.0,41.0,29203.0,17851.0,12782.0,17855.0,75.0,183.0,1776.0,Mississippi,1,66.38569846400000,28,0.5659809173613973,0.40517323358797985,0.005800868545345041,0.002377405141534853,0.056296953751545316,0.4245446660884649
60,Clay,19808.0,87400.0,750.0,39.5,35121.0,21076.0,7845.0,11807.0,59.0,26.0,137.0,Mississippi,25,47.10461323600000,28,0.5960722940226171,0.3960521001615509,0.0013126009693053312,0.00297859450726979,0.006916397415185784,0.4148755373387984
61,Covington,19091.0,78600.0,665.0,37.7,35931.0,18353.0,11656.0,7215.0,0.0,28.0,92.0,Mississippi,31,45.03423611500000,28,0.37792677177727724,0.6105494735739354,0.0014666596825729402,0.0,0.004819024671311089,0.6168425831347181
62,Humphreys,8539.0,68900.0,617.0,38.0,28507.0,16604.0,1848.0,6489.0,14.0,6.0,267.0,Mississippi,53,19.26815410400000,28,0.759925049771636,0.21641878440098372,0.0007026583909122848,0.001639536245461998,0.03126829839559667,0.2706324947096168
63,Saline,23102.0,102000.0,626.0,38.0,43201.0,22802.0,19781.0,1090.0,87.0,204.0,2296.0,Missouri,195,30.12735844200000,29,0.04718206215912042,0.8562462124491386,0.00883040429400052,0.0037659077136178686,0.09938533460306467,0.6444899719646323
64,Madison,12205.0,98600.0,583.0,42.1,41322.0,22119.0,11852.0,123.0,34.0,30.0,291.0,Missouri,123,24.45044845500000,29,0.010077836952068825,0.9710774272839,0.0024580090126997134,0.0027857435477263415,0.02384268742318722,0.7709077241120089
65,Wright,18293.0,100400.0,561.0,42.0,32752.0,19909.0,17629.0,105.0,68.0,88.0,324.0,Missouri,229,26.82557860400000,29,0.005739900508391188,0.9637019624993167,0.004810583283223091,0.0037172689006723884,0.01771169299732138,0.8260869565217391
66,Vernon,20691.0,99000.0,660.0,40.9,43379.0,24388.0,19771.0,184.0,127.0,138.0,434.0,Missouri,217,24.88288167900000,29,0.008892755304238558,0.9555362234788072,0.006669566478178918,0.006137934367599439,0.02097530327195399,0.7597395045935574
67,Nodaway,22547.0,124600.0,639.0,29.2,43349.0,22151.0,21111.0,637.0,47.0,310.0,374.0,Missouri,147,25.19145179000000,29,0.02825209562247749,0.9363108174036457,0.013749057524282609,0.0020845345278751055,0.016587572626069986,0.6745612180164939
68,Chariton,7546.0,91600.0,515.0,45.5,46992.0,24470.0,7212.0,183.0,7.0,0.0,38.0,Missouri,41,9.88580607750000,29,0.024251258945136495,0.9557381394116088,0.0,0.0009276437847866419,0.005035780545984627,0.7432602670697909
69,Grundy,10039.0,91400.0,576.0,40.8,42574.0,23249.0,9618.0,52.0,130.0,36.0,235.0,Missouri,79,22.62848287300000,29,0.005179798784739516,0.9580635521466282,0.0035860145432812032,0.01294949696184879,0.023408706046418967,0.8032482598607888
70,Morgan,20137.0,122300.0,581.0,46.1,37727.0,21265.0,19279.0,161.0,100.0,183.0,446.0,Missouri,141,34.51439566400000,29,0.007995232656304316,0.9573918657198193,0.009087748919898693,0.004965983016338084,0.022148284252867856,0.7663530211994105
71,Wayne,13308.0,74900.0,568.0,47.3,34391.0,18759.0,12868.0,74.0,51.0,45.0,230.0,Missouri,223,16.95632980000000,29,0.005560565073639916,0.9669371806432221,0.003381424706943192,0.003832281334535618,0.01728283739104298,0.8236958443854996
72,Bollinger,12281.0,105400.0,655.0,44.1,42985.0,20949.0,11970.0,68.0,100.0,41.0,136.0,Missouri,17,19.63572861700000,29,0.005537008386939175,0.9746763292891458,0.00333849035094862,0.00814265939255761,0.01107401677387835,0.8504228329809725
73,Cape Girardeau,78324.0,155000.0,796.0,36.6,51730.0,26546.0,68709.0,5894.0,153.0,1244.0,1788.0,Missouri,31,136.32740613000000,29,0.07525151932996271,0.8772406925080435,0.015882743475818396,0.001953424237781523,0.022828251876819364,0.7294400345591014
74,Shelby,6061.0,74700.0,549.0,41.5,44051.0,23501.0,5868.0,117.0,5.0,9.0,116.0,Missouri,205,11.83955522400000,29,0.019303745256558324,0.9681570697904636,0.0014849034812737172,0.0008249463784853984,0.019138755980861243,0.7754224270353303
75,Webster,38082.0,127900.0,617.0,37.1,47421.0,21682.0,36436.0,437.0,175.0,142.0,765.0,Missouri,225,66.81481537500000,29,0.011475237645081666,0.9567774801743606,0.0037287957565253927,0.004595346883041857,0.020088230660154402,0.7668876545421968
76,Atchison,5270.0,85600.0,542.0,48.3,48385.0,29009.0,5150.0,20.0,26.0,21.0,66.0,Missouri,5,9.39729061160000,29,0.003795066413662239,0.9772296015180265,0.003984819734345351,0.004933586337760911,0.012523719165085389,0.7562408223201175
77,Bates,16374.0,114500.0,673.0,41.8,46186.0,27035.0,15637.0,238.0,100.0,37.0,352.0,Missouri,13,19.32843632100000,29,0.014535238793208746,0.9549896176865763,0.0022596799804568217,0.0061072431904238425,0.021497496030291927,0.7479745731023308
